zone,shift_type,avg_weekly_income,rain_intensity,traffic_congestion,aqi_level,uv_index,claim_count,total_payout_history,actual_loss
Yelahanka,Night,8617.97,5.77,0.6066,70.8,10.0,0,0.0,551.65
Indiranagar,Peak,7610.64,3.88,0.4679,128.8,7.0,0,0.0,343.72
Jayanagar,Night,7111.15,1.34,0.3923,59.0,2.0,0,0.0,278.14
Yelahanka,Night,12093.67,0.27,0.4697,132.9,4.0,1,434.18,440.03
HSR Layout,Morning,6397.49,0.68,0.2427,79.8,1.0,2,1091.6,267.14
Electronic City,Morning,6365.31,2.37,0.1719,213.2,5.0,1,496.99,285.36
Jayanagar,Night,9662.96,0.7,0.2212,141.0,8.0,0,0.0,342.94
Jayanagar,Morning,8523.61,2.36,0.4863,146.4,1.0,2,660.44,466.32
Yelahanka,Peak,9564.2,0.79,0.3257,167.5,7.0,1,385.06,417.13
Whitefield,Peak,7233.74,5.67,0.18,173.1,7.0,4,1358.95,494.88
HSR Layout,Morning,7633.89,1.52,0.1019,85.5,7.0,4,2199.51,293.04
Yelahanka,Peak,10801.87,0.85,0.4025,124.7,1.0,2,790.55,455.41
HSR Layout,Morning,5328.09,5.02,0.3323,97.7,12.0,2,1068.89,574.46
HSR Layout,Night,6794.25,1.26,0.2378,224.7,11.0,0,0.0,586.58
Electronic City,Night,8596.51,0.35,0.1658,20.0,3.0,0,0.0,273.76
Jayanagar,Peak,6608.28,2.53,0.237,91.2,11.0,3,1268.48,560.08
Indiranagar,Morning,5859.71,2.61,0.1656,116.0,2.0,1,512.38,316.8
Electronic City,Morning,8236.97,3.76,0.5162,126.8,5.0,1,489.73,342.53
Electronic City,Peak,9671.61,0.82,0.0502,125.8,2.0,3,1469.87,349.85
HSR Layout,Night,6718.33,1.76,0.1936,117.7,13.0,2,956.96,637.35
Marathahalli,Peak,6662.82,1.0,0.1799,111.9,5.0,0,0.0,260.37
Jayanagar,Night,5704.62,0.25,0.2887,132.1,5.0,0,0.0,275.36
Whitefield,Morning,6408.05,6.28,0.1955,143.1,4.0,0,0.0,456.54
Electronic City,Night,9167.21,3.92,0.3096,209.5,11.0,2,886.5,699.51
Indiranagar,Peak,7162.13,1.08,0.702,209.1,7.0,1,434.05,511.76
Marathahalli,Morning,5390.02,2.74,0.1802,135.0,10.0,5,2414.17,455.56
Marathahalli,Peak,7524.72,0.67,0.2482,95.2,6.0,2,995.49,273.92
Whitefield,Peak,9102.39,6.63,0.4107,98.7,2.0,0,0.0,382.35
Electronic City,Night,5876.23,0.37,0.2751,54.3,4.0,0,0.0,295.97
Indiranagar,Peak,4342.79,0.01,0.3097,167.7,13.0,1,455.63,600.89
Jayanagar,Night,11381.65,2.09,0.5539,117.8,11.0,4,1751.33,730.1
Koramangala,Morning,4242.94,2.62,0.4303,141.9,7.0,0,0.0,278.42
Indiranagar,Night,6281.95,2.6,0.3378,136.7,9.0,3,2048.68,447.0
Whitefield,Morning,7464.26,0.17,0.2004,85.1,9.0,0,0.0,407.14
Marathahalli,Night,6455.14,1.13,0.2528,78.9,12.0,0,0.0,524.22
Jayanagar,Peak,6850.18,2.07,0.1095,97.4,3.0,4,1701.09,301.89
Indiranagar,Night,8153.68,0.73,0.0258,144.3,1.0,0,0.0,331.33
Koramangala,Night,2216.56,6.18,0.2418,116.0,9.0,2,1156.59,281.32
Koramangala,Morning,4466.21,0.27,0.1889,31.7,8.0,0,0.0,141.94
HSR Layout,Peak,7088.52,2.0,0.499,68.8,7.0,3,1383.98,319.13
HSR Layout,Night,6191.57,3.53,0.4148,106.6,6.0,3,1588.96,286.01
Yelahanka,Peak,7258.82,0.91,0.175,118.5,10.0,4,1896.77,421.27
Whitefield,Night,7455.31,2.94,0.3637,145.8,7.0,0,0.0,345.96
Electronic City,Night,2768.16,5.31,0.1152,122.0,11.0,0,0.0,440.65
Indiranagar,Peak,9547.28,0.63,0.0451,101.9,9.0,1,505.23,346.79
